stkcd,stock,name,year,is_crawled
836030,金居股份,金居建设发展股份有限公司,2015,1
831977,通宇电子,安徽通宇电子股份有限公司,2015,1
831314,深科达,深圳市深科达智能装备股份有限公司,2014,1
430497,威硬工具,威海威硬工具股份有限公司,2016,1
831473,江苏科幸,江苏科幸新材料股份有限公司,2014,1
833060,顺治科技,杭州顺治科技股份有限公司,2016,1
835739,般若系统,深圳般若计算机系统股份有限公司,2015,1
832172,倍通股份,深圳市倍通检测股份有限公司,2015,1
832794,万斯达,山东万斯达建筑科技股份有限公司,2015,1
831572,疆能股份,新疆新华能电气股份有限公司,2016,1
832193,宏晶科技,合肥宏晶微电子科技股份有限公司,2015,1
831710,昊方机电,安徽昊方机电股份有限公司,2016,1
832609,意昂股份,福建意昂机电股份公司,2015,1
832521,合一康,深圳市合一康生物科技股份有限公司,2016,1
430577,力龙信息,武汉力龙信息科技股份有限公司,2014,1
835145,南自股份,浙江南自智能科技股份有限公司,2015,1
830908,普诺威,江苏普诺威电子股份有限公司,2014,1
831544,北超伺服,北京超同步伺服股份有限公司,2014,1
831744,万信达,深圳市万信达生态环境股份有限公司,2016,1
430357,行悦信息,行悦信息科技股份有限公司,2013,1
430707,欧神诺,欧神诺,2014,1
831143,焕鑫新材,江苏焕鑫新材料股份有限公司,2016,1
430174,沃捷传媒,北京沃捷文化传媒股份有限公司,2014,1
430139,华岭股份,上海华岭集成电路技术股份有限公司,2014,1
430163,三众能源,北京合创三众能源科技股份有限公司,2015,1
430486,普金科技,广州普金计算机科技股份有限公司,2016,1
831246,欧力配网,珠海欧力配网自动化股份有限公司,2014,1
834909,汉氏联合,北京汉氏联合生物技术股份有限公司,2015,1
833448,灵动微电,上海灵动微电子股份有限公司,2014,1
832914,锐嘉工业,广州锐嘉工业股份有限公司,2015,1
831826,华菱医疗,张家港华菱医疗设备股份公司,2015,1
430234,翼捷股份,上海翼捷工业安全设备股份有限公司,2014,1
837069,华如科技,北京华如科技股份有限公司,2015,1
831404,宝丽兴源,北京宝丽兴源技术服务股份有限公司,2015,1
832259,鸿发有色,南京鸿发有色金属制造股份有限公司,2016,1
831697,海优新材,上海海优威新材料股份有限公司,2015,1
430338,银音科技,上海银音信息科技股份有限公司,2014,1
831093,鑫航科技,河北鑫航铁塔科技股份有限公司,2016,1
832499,天海流体,铜陵天海流体控制股份有限公司,2014,1
834580,天线宝宝,福建天线宝宝食品股份有限公司,2016,1
835036,众联能创,上海众联能创新能源科技股份有限公司,2015,1
430144,煦联得,北京煦联得节能科技股份有限公司,2014,1
831918,天立泰,安徽天立泰科技股份有限公司,2015,1
430065,中海阳,中海阳能源集团股份有限公司,2012,1
430345,天呈医流,上海天呈医流科技股份有限公司,2015,1
830772,远航科技,威海远航科技发展股份有限公司,2016,1
835811,唯达技术,江苏唯达水处理技术股份有限公司,2015,1
830886,太尔科技,福建太尔电子科技股份有限公司,2013,1
830837,古城香业,河北古城香业集团股份有限公司,2016,1
831048,天成股份,承德天成印刷科技股份有限公司,2014,1
833616,金锂科技,江西省金锂科技股份有限公司,2015,1
832518,佳汇设计,浙江佳汇建筑设计股份有限公司,2014,1
430583,国贸酝领,江苏国贸酝领智能科技股份有限公司,2013,1
